longitude,latitude,track_id,class_name,confidence,reliability,accuracy_meters,detection_count,first_frame,last_frame,duration_frames,estimated_distance_m
-58.67099764393826,-34.66129870471083,53904,Led-150,0.8,0.96,1.0,0,0,100,100,25.0
-58.67098762393916,-34.66132117239967,53911,Led-240,0.8,0.962,1.0,0,0,100,100,25.0
-58.6709783552025,-34.661305753316796,54003,Led-240,0.8,0.957,1.0,0,0,100,100,25.0
-58.670909619292544,-34.66130303071235,54155,Led-240,0.8,0.956,1.0,0,0,100,100,25.0
-58.67093986370778,-34.66130919579047,54169,Led-240,0.8,0.956,1.0,0,0,100,100,25.0
-58.670934870551136,-34.661294862810195,54226,Led-150,0.8,0.997,1.0,0,0,100,100,25.0
-58.67092129977147,-34.66129974161738,54271,Led-240,0.8,0.961,1.0,0,0,100,100,25.0
-58.67087461132347,-34.661293070650544,54307,Led-240,0.8,0.941,1.0,0,0,100,100,25.0
-58.67090769502911,-34.661295850833525,54354,Led-150,0.8,0.958,1.0,1,0,100,100,25.0
-58.6708738598346,-34.66132058519688,54572,Led-150,0.8,0.966,1.0,0,0,100,100,25.0
-58.67083497082598,-34.66128290562203,54578,Led-150,0.8,0.913,1.0,0,0,100,100,25.0
-58.67083580963781,-34.661309476673495,54875,Led-240,0.8,0.94,1.0,0,0,100,100,25.0
-58.670843908427365,-34.661273954560755,54889,Led-240,0.8,0.944,1.0,0,0,100,100,25.0
-58.67078461886356,-34.661266807208285,55109,Led-240,0.8,0.947,1.0,0,0,100,100,25.0
-58.67079179608668,-34.661260431087776,55449,Led-240,0.8,0.95,1.0,0,0,100,100,25.0
-58.67069953962669,-34.66123731877989,55799,Led-240,0.8,0.937,1.0,0,0,100,100,25.0
-58.670677653900896,-34.66126046187311,56368,Led-150,0.8,1.0,1.0,0,0,100,100,25.0
-58.6706770387694,-34.66122597217409,56526,Led-150,0.8,0.956,1.0,0,0,100,100,25.0
-58.6706828448244,-34.66120295854925,56542,Led-150,0.8,0.949,1.0,0,0,100,100,25.0
-58.670621929846654,-34.66115552298534,57294,Led-150,0.8,0.948,1.0,0,0,100,100,25.0
-58.67058379071155,-34.6612331013629,57310,Led-150,0.8,0.956,1.0,0,0,100,100,25.0
-58.67058743288623,-34.66123394980232,57356,Led-150,0.8,0.958,1.0,0,0,100,100,25.0
-58.670556560910754,-34.66122441726615,57599,Led-240,0.8,0.931,1.0,1,0,100,100,25.0
-58.67048070919644,-34.66118706712488,58841,Led-240,0.8,0.97,1.0,0,0,100,100,25.0
-58.67044936087802,-34.66116342718223,58902,Led-150,0.8,0.961,1.0,1,0,100,100,25.0
-58.67043519222675,-34.66115916122852,59148,Led-150,0.8,0.967,1.0,0,0,100,100,25.0
-58.67046477934622,-34.66114812183375,59321,Led-240,0.8,0.956,1.0,0,0,100,100,25.0
-58.67044623978789,-34.66117662896451,59326,Led-150,0.8,0.956,1.0,0,0,100,100,25.0
-58.670377809360716,-34.66113960622437,59876,Led-150,0.8,0.948,1.0,0,0,100,100,25.0
-58.67040262454633,-34.66115670225573,60076,Led-150,0.8,0.957,1.0,0,0,100,100,25.0
-58.67037345865271,-34.66116973538246,60146,Led-150,0.8,0.943,1.0,1,0,100,100,25.0
-58.67038660358293,-34.661130695565745,60174,Led-150,0.8,0.981,1.0,0,0,100,100,25.0
-58.67039312308132,-34.661104135043004,60263,Led-240,0.8,0.938,1.0,1,0,100,100,25.0
-58.670383573565104,-34.66109888231644,60331,Led-240,0.8,0.951,1.0,1,0,100,100,25.0
-58.670352410664634,-34.66116542512663,60537,Led-240,0.8,0.945,1.0,0,0,100,100,25.0
-58.67035245149952,-34.66116533452486,60875,Led-240,0.8,0.949,1.0,0,0,100,100,25.0
-58.67032959889013,-34.661158751824566,61046,Led-150,0.8,0.959,1.0,1,0,100,100,25.0
-58.67033291500216,-34.66113653972623,61159,Led-240,0.8,0.967,1.0,0,0,100,100,25.0
-58.67031909694341,-34.66115526194968,61218,Led-150,0.8,0.968,1.0,0,0,100,100,25.0
-58.67030524586701,-34.66115067449045,61439,Led-240,0.8,0.957,1.0,0,0,100,100,25.0
-58.670322808652585,-34.661061456129254,61842,Led-150,0.8,0.964,1.0,0,0,100,100,25.0
-58.670270428368696,-34.6611417727042,62026,Led-150,0.8,0.96,1.0,0,0,100,100,25.0
-58.670249821046276,-34.66113492477566,62396,Led-150,0.8,0.97,1.0,0,0,100,100,25.0
-58.67021713324498,-34.66109173611868,62678,Led-150,0.8,0.964,1.0,0,0,100,100,25.0
-58.670152728076474,-34.66107553429547,63559,Led-240,0.8,0.972,1.0,1,0,100,100,25.0
-58.67014330913815,-34.661073554635585,63732,Led-150,0.8,0.961,1.0,0,0,100,100,25.0
-58.670123902717634,-34.66107179752664,64111,Led-240,0.8,0.996,1.0,1,0,100,100,25.0
-58.67010069230528,-34.66106294262616,64496,Led-150,0.8,0.968,1.0,0,0,100,100,25.0
-58.67010456884076,-34.66109548513714,64664,Led-150,0.8,0.971,1.0,1,0,100,100,25.0
-58.670087920809834,-34.66106236141556,64765,Led-240,0.8,0.974,1.0,0,0,100,100,25.0
-58.6700913332724,-34.66109755353258,65030,Led-150,0.8,0.974,1.0,0,0,100,100,25.0
-58.67009188415072,-34.66109515224804,65286,Led-150,0.8,1.0,1.0,0,0,100,100,25.0
-58.6700689264264,-34.6610958866304,65497,Led-240,0.8,0.981,1.0,0,0,100,100,25.0
-58.6699554298806,-34.66118661210019,68133,Led-240,0.8,0.979,1.0,0,0,100,100,25.0
-58.66991403968575,-34.66114050869921,68573,Led-240,0.8,0.931,1.0,0,0,100,100,25.0
-58.6699797659903,-34.661208603776416,68854,Led-150,0.8,0.933,1.0,0,0,100,100,25.0
-58.66991187874365,-34.661274527048135,68877,Led-240,0.8,0.97,1.0,0,0,100,100,25.0
-58.66996013150436,-34.66125357259346,69772,Led-150,0.8,0.922,1.0,0,0,100,100,25.0
-58.669865867525765,-34.66134184833616,70298,Led-150,0.8,0.972,1.0,0,0,100,100,25.0
-58.669852261779134,-34.66138588577629,71281,Led-240,0.8,0.97,1.0,0,0,100,100,25.0
-58.66976500830796,-34.66155488516157,74321,Led-240,0.8,1.0,1.0,0,0,100,100,25.0
-58.669759456970276,-34.661566000754135,74570,Led-150,0.8,1.0,1.0,0,0,100,100,25.0
-58.66969483294878,-34.66172991142517,77803,Led-240,0.8,1.0,1.0,1,0,100,100,25.0
-58.66967580773395,-34.661739304877656,80161,Led-240,0.8,0.984,1.0,0,0,100,100,25.0
